name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g9.0,40,9.0,0.7,0.6977187260657198,0.0032589627632573226,0.0853,custom_erdos_renyi,0.9870529174804688,0.9738500643116736,0.9787199561199362,796,1033,9.908287666171578e-6,9.990313552449281e-6,105.29758861040258
g11.0,40,11.0,0.7,0.7029518726736469,0.004216960962352769,0.0602,custom_erdos_renyi,0.9870529174804688,0.9738463659940012,0.9778310505513826,795,992,9.98960871687049e-6,9.946013676098708e-6,105.29758861040258
g13.0,40,13.0,0.7,0.6966416973377186,0.004797575231830459,0.06773,custom_erdos_renyi,0.9870529174804688,0.9738256465443302,0.978862209580284,796,1050,9.885378853879967e-6,9.894697900084386e-6,105.29758861040258
g15.0,40,15.0,0.7,0.7025167177782261,0.0035953111117516456,0.04012,custom_erdos_renyi,0.9870529174804688,0.9738641965192741,0.9778620694393129,796,990,9.980968065564921e-6,9.938939690756765e-6,105.29758861040258
g17.0,40,17.0,0.7,0.7054681721617905,0.0078116745168435985,0.03008,custom_erdos_renyi,0.9870529174804688,0.9738685336629521,0.977314405405642,796,962,9.873236085089498e-6,9.955142227346947e-6,105.29758861040258
g19.0,40,19.0,0.7,0.6954977142955315,0.006431836720669176,0.02757,custom_erdos_renyi,0.9870529174804688,0.9738788041665285,0.9773462185682225,795,954,9.99831284526076e-6,9.94187517522338e-6,105.29758861040258
g21.0,40,21.0,0.7,0.6942918808902785,0.008154455871030666,0.02506,custom_erdos_renyi,0.9870529174804688,0.9738670640900747,0.9773345086016217,796,959,9.93778666211198e-6,9.899789190803698e-6,105.29758861040258
g23.0,40,23.0,0.7,0.6997285650739177,0.00038776418011754465,0.02004,custom_erdos_renyi,0.9870529174804688,0.9738895842383308,0.9769551598361748,795,938,9.968912459246138e-6,9.956356722518045e-6,105.29758861040258
g25.0,40,25.0,0.7,0.7116546915759545,0.016649559394220796,0.05016,custom_erdos_renyi,0.9870529174804688,0.9738285082988999,0.9805859601466629,797,1171,9.873887495126521e-6,9.982897511195965e-6,105.29758861040258
g27.0,40,27.0,0.7,0.6893041411072137,0.015279798418266053,0.05016,custom_erdos_renyi,0.9870529174804688,0.973827988308956,0.9807278361699572,797,1176,9.888264633856059e-6,9.973270594404449e-6,105.29758861040258
g29.0,40,29.0,0.7,0.7058132918077018,0.008304702582431212,0.01251,custom_erdos_renyi,0.9870529174804688,0.9739173043018107,0.976356552518562,795,911,9.957049875358726e-6,9.917110150886588e-6,105.29758861040258
g31.0,40,31.0,0.7,0.6883648199437518,0.01662168579464028,0.01251,custom_erdos_renyi,0.9870529174804688,0.9738991586605922,0.9765719894730428,795,917,9.960960298871502e-6,9.94868485240663e-6,105.29758861040258
g35.0,40,35.0,0.7,0.6912423681919552,0.012510902582921124,0.01,custom_erdos_renyi,0.9870529174804688,0.9739272467581405,0.9761319629042388,795,905,9.922188086708417e-6,9.97183848688854e-6,105.29758861040258
g37.0,40,37.0,0.7,0.7052000000000003,0.0074285714285718795,0.04263,custom_erdos_renyi,0.9870529174804688,0.9738250470197645,0.9814465232435011,797,1242,9.902006597395374e-6,9.976030656758898e-6,105.29758861040258
g39.0,40,39.0,0.7,0.7052000000000008,0.007428571428572673,0.04263,custom_erdos_renyi,0.9870529174804688,0.9738246574847867,0.9818086552552651,797,1268,9.904597260607106e-6,9.94718071236321e-6,105.29758861040258
