name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g19.0,40,19.0,0.7,0.7079273196784597,0.011324742397799603,0.04514,custom_geometric,0.9866104125976562,0.9730411990303488,0.9788243996568128,770,1052,9.951250286299729e-6,9.912357911470802e-6,105.29758861040258
g21.0,40,21.0,0.7,0.7069790737606544,0.009970105372363473,0.04514,custom_geometric,0.9866104125976562,0.9730395565557239,0.9786823679939511,770,1035,9.911959460318087e-6,9.962563296272986e-6,105.29758861040258
g23.0,40,23.0,0.7,0.6941689981669358,0.008330002618663108,0.03259,custom_geometric,0.9866104125976562,0.9730427741458748,0.9780100517946719,770,999,9.947801602072648e-6,9.967889183171152e-6,105.29758861040258
g25.0,40,25.0,0.7,0.6967272923926277,0.004675296581960436,0.04012,custom_geometric,0.9866104125976562,0.9730592495901038,0.9783461932528918,770,1020,9.931420795000756e-6,9.963379634103653e-6,105.29758861040258
g27.0,40,27.0,0.7,0.7017880642743898,0.0025543775348426034,0.02004,custom_geometric,0.9866104125976562,0.9730552157692213,0.9769063266275738,770,942,9.87649072545227e-6,9.914615260758763e-6,105.29758861040258
g29.0,40,29.0,0.7,0.7052000000000002,0.007428571428571721,0.04263,custom_geometric,0.9866104125976562,0.9730395208212849,0.9797259319558889,770,1108,9.967033347602072e-6,9.913956270451996e-6,105.29758861040258
g31.0,40,31.0,0.7,0.7018237804292358,0.0026054006131940154,0.02255,custom_geometric,0.9866104125976562,0.9730491569819558,0.9771016884423702,770,952,9.902085920443504e-6,9.953838990578445e-6,105.29758861040258
g33.0,40,33.0,0.7,0.7052000000000006,0.007428571428572356,0.04263,custom_geometric,0.9866104125976562,0.9730358689653652,0.9809481991119907,770,1195,9.98893373269083e-6,9.978862574013415e-6,105.29758861040258
g35.0,40,35.0,0.7,0.6978523570471469,0.003068061361218685,0.01251,custom_geometric,0.9866104125976562,0.9730604223924709,0.9760940634516821,770,907,9.878925386563875e-6,9.952888555375683e-6,105.29758861040258
g37.0,40,37.0,0.7,0.7052000000000006,0.007428571428572356,0.04263,custom_geometric,0.9866104125976562,0.973035401604274,0.9809081263022686,770,1206,9.978458946513502e-6,9.990851371217534e-6,105.29758861040258
