name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g14.0_7.0,14.0,7.0,0.6,0.6020826134472986,0.0034710224121644226,0.16144543348531257,custom_barabasi_albert,0.993194580078125,0.9839282944136668,0.9877813636303802,1509,2099,9.94790458291872e-6,9.987446180542096e-6,84.07133164056063
g18.0_14.0,18.0,14.0,0.6,0.6133318353887224,0.02221972564787067,0.11048054383231878,custom_barabasi_albert,0.993194580078125,0.98428576800575,0.9874500628667272,1532,2039,9.992300149447297e-6,9.977145131845333e-6,94.08389709218577
g18.0_15.0,18.0,15.0,0.6,0.6082855022081705,0.013809170346950802,0.10005604413877693,custom_barabasi_albert,0.993194580078125,0.9842857101087583,0.9872938261186939,1532,2012,9.992634214750495e-6,9.975831056580065e-6,94.08389709218577
g22.0_19.0,22.0,19.0,0.6,0.6039461534561151,0.006576922426858589,0.08639358573806888,custom_barabasi_albert,0.993194580078125,0.9840297747684459,0.9875739700324844,1521,2077,9.986412309953563e-6,9.981636647844738e-6,111.19028772448958
g26.0_17.0,26.0,17.0,0.6,0.5970542880882425,0.004909519852929201,0.06634960365268917,custom_barabasi_albert,0.993194580078125,0.9841995900790439,0.9870171279313883,1515,1984,9.955405197825673e-6,9.942449751193516e-6,87.76402457008273
g34.0_25.0,34.0,25.0,0.6,0.6095344145529846,0.015890690921641082,0.05180127685376816,custom_barabasi_albert,0.993194580078125,0.9840104868971645,0.9873513724594845,1527,2033,9.984952610009312e-6,9.974140567026168e-6,123.90510826483751
g42.0_21.0,42.0,21.0,0.6,0.6052567710541672,0.0087612850902787,0.05133495417234111,custom_barabasi_albert,0.993194580078125,0.983998164288177,0.9872206961065347,1524,2027,9.995608039381487e-6,9.993787549067434e-6,114.67673511364583
g46.0_28.0,46.0,28.0,0.6,0.5863186879062863,0.022802186822856174,0.0413508932891451,custom_barabasi_albert,0.993194580078125,0.9840152546035014,0.9870256022857419,1523,1979,9.968073386351639e-6,9.940809552938523e-6,167.28338177007433
g46.0_37.0,46.0,37.0,0.6,0.586305735517139,0.02282377413810155,0.04041274805113155,custom_barabasi_albert,0.993194580078125,0.9840148027574144,0.987333948761307,1523,2034,9.978965945039997e-6,9.971518285523118e-6,167.28338177007433
g50.0_43.0,50.0,43.0,0.6,0.5888784209470113,0.01853596508831453,0.035854362177570986,custom_barabasi_albert,0.993194580078125,0.9841963379341432,0.9872790577850192,1536,2030,9.996209039103698e-6,9.995555249137089e-6,166.91494686828082
g54.0_28.0,54.0,28.0,0.6,0.5985286074765794,0.002452320872367575,0.03967359454907908,custom_barabasi_albert,0.993194580078125,0.9840067860705021,0.9871373726230127,1526,1993,9.96477613740554e-6,9.954375720923076e-6,196.20223077356553
g54.0_31.0,54.0,31.0,0.6,0.6033019631853613,0.005503271975602261,0.038684138288821814,custom_barabasi_albert,0.993194580078125,0.9840065392053534,0.9872299053294646,1526,2020,9.966571372005406e-6,9.955778771081336e-6,196.20223077356553
g54.0_46.0,54.0,46.0,0.6,0.6017091873311802,0.0028486455519669924,0.03197935914478361,custom_barabasi_albert,0.993194580078125,0.9840065195829872,0.9871557237150258,1526,2001,9.968595569981309e-6,9.946412769940016e-6,196.20223077356553
g58.0_22.0,58.0,22.0,0.6,0.614436230861172,0.024060384768620123,0.04426332009761728,custom_barabasi_albert,0.993194580078125,0.9840366597087876,0.9870265626116448,1514,1986,9.96058971811098e-6,9.98812001054561e-6,239.51348629814495
g58.0_49.0,58.0,49.0,0.6,0.6128428874596448,0.02140481243274132,0.030945695620560584,custom_barabasi_albert,0.993194580078125,0.9840358232670934,0.9873413478091634,1514,2039,9.970415256493892e-6,9.966668699845638e-6,239.51348629814495
g66.0_41.0,66.0,41.0,0.6,0.6143007723139906,0.023834620523317716,0.02978140674642205,custom_barabasi_albert,0.993194580078125,0.9840211125153091,0.9872383923494369,1521,2020,9.99677237964458e-6,9.979182620273308e-6,173.09102120716423
g66.0_45.0,66.0,45.0,0.6,0.586796815577129,0.022005307371451566,0.028730647860707975,custom_barabasi_albert,0.993194580078125,0.9840208444542695,0.9872356123397822,1522,2023,9.933659973565545e-6,9.988293696083783e-6,173.09102120716423
g66.0_49.0,66.0,49.0,0.6,0.6112147466896408,0.018691244482734737,0.028601889831959906,custom_barabasi_albert,0.993194580078125,0.9840207849753599,0.9873417762369383,1522,2039,9.93486499742402e-6,9.948113431801353e-6,173.09102120716423
g70.0_53.0,70.0,53.0,0.6,0.5939837538862069,0.010027076856321723,0.026076590198029242,custom_barabasi_albert,0.993194580078125,0.9840070776323252,0.9872376028036866,1521,2017,9.995323692502112e-6,9.970344900550598e-6,182.49091875025184
g70.0_61.0,70.0,61.0,0.6,0.6080418571917465,0.013403095319577582,0.02508836523295942,custom_barabasi_albert,0.993194580078125,0.9840070440389199,0.9872390260638281,1521,2014,9.994164867049848e-6,9.99187095590548e-6,182.49091875025184
g74.0_73.0,74.0,73.0,0.6,0.6117224215176489,0.01953736919608151,0.023646303715017587,custom_barabasi_albert,0.993194580078125,0.9839438805790816,0.9872095442342902,1510,1999,9.930869918739482e-6,9.9970978494901e-6,148.44405471471003
g78.0_65.0,78.0,65.0,0.6,0.5911440689951704,0.014759885008049367,0.022347722256104388,custom_barabasi_albert,0.993194580078125,0.984112386909598,0.9871794844856524,1531,2008,9.938523774316588e-6,9.997768562058917e-6,154.21574795005284
g86.0_45.0,86.0,45.0,0.6,0.6097895618278425,0.016315936379737533,0.023955637380132108,custom_barabasi_albert,0.993194580078125,0.9840196174258656,0.9871196680871374,1524,1975,9.938261591846409e-6,9.947842841584453e-6,172.3539014252036
g90.0_51.0,90.0,51.0,0.6,0.5989781754537682,0.0017030409103863109,0.022094880272585684,custom_barabasi_albert,0.993194580078125,0.9840018858720782,0.9871337409206239,1526,2001,9.938621283928084e-6,9.97830163432245e-6,161.051238224362
g90.0_71.0,90.0,71.0,0.6,0.6112905454156556,0.018817575692759436,0.01986694811228829,custom_barabasi_albert,0.993194580078125,0.9840016497029013,0.9872316754930357,1526,2024,9.940209970804581e-6,9.97184350548519e-6,161.051238224362
g94.0_51.0,94.0,51.0,0.6,0.5977269194766912,0.003788467538847947,0.020975480274870593,custom_barabasi_albert,0.993194580078125,0.9840987141788204,0.987019655758261,1531,1979,9.95118423030572e-6,9.959320934727067e-6,292.7335680456354
g94.0_66.0,94.0,66.0,0.6,0.5890263926796924,0.018289345533846018,0.02006680437221517,custom_barabasi_albert,0.993194580078125,0.9840984602400461,0.9872215469591873,1531,2021,9.951373274558195e-6,9.995752693559012e-6,292.7335680456354
g98.0_71.0,98.0,71.0,0.6,0.5972691896457607,0.004551350590398795,0.01894628704550621,custom_barabasi_albert,0.993194580078125,0.9838168558929893,0.9871196165128401,1505,2004,9.931147749470126e-6,9.998816353246065e-6,175.27801495541644
g98.0_81.0,98.0,81.0,0.6,0.6056052503927035,0.009342083987839239,0.018220443130904707,custom_barabasi_albert,0.993194580078125,0.983816841018574,0.9872288412490101,1505,2013,9.930296616195156e-6,9.967369311331131e-6,175.27801495541644
g98.0_91.0,98.0,91.0,0.6,0.6041398489282515,0.006899748213752463,0.016880390449513887,custom_barabasi_albert,0.993194580078125,0.9838167225169661,0.9870148902806233,1505,1985,9.930799635043952e-6,9.988954390943716e-6,175.27801495541644
