name,n,mu,target,sigma,sigma_error,scale,type
g10.0,10.0,8.0,0.65,0.6490010023680076,0.0015369194338344682,0.1325,custom_barabasi_albert
g12.0,12.0,10.0,0.65,0.6475652363229797,0.003745790272338977,0.145,custom_barabasi_albert
g22.0,22.0,18.0,0.65,0.6533466635160913,0.00514871310167885,0.0775,custom_barabasi_albert
g32.0,32.0,26.0,0.65,0.6624861527568331,0.01920946577974318,0.0525,custom_barabasi_albert
g38.0,38.0,30.0,0.65,0.6537620001026256,0.005787692465577874,0.04,custom_barabasi_albert
g42.0,42.0,34.0,0.65,0.6635577578969063,0.0208580890721635,0.045,custom_barabasi_albert
g44.0,44.0,35.0,0.65,0.6582140464502227,0.012636994538804189,0.04,custom_barabasi_albert
g46.0,46.0,37.0,0.65,0.6514851734943442,0.002284882298991051,0.0375,custom_barabasi_albert
g48.0,48.0,38.0,0.65,0.6557035706386829,0.008774724059512115,0.0375,custom_barabasi_albert
g50.0,50.0,40.0,0.65,0.6459045958853968,0.006300621714774131,0.035,custom_barabasi_albert
