name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa,alpha,delta,eta,zeta
g10.0,10.0,7.0,0.7,0.7007375216756733,0.0010536023938190198,0.18,custom_barabasi_albert,0.9881210327148438,0.9970171611394832,0.9969650099712852,40000,40000,1.4021120926521746e-6,1.4021068786007618e-6,70.13380506920919,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g12.0,12.0,8.0,0.7,0.7000269794711643,3.854210166338262e-5,0.125,custom_barabasi_albert,0.9881210327148438,0.9968844516698948,0.9973533139826941,40000,40000,1.4021125605001572e-6,1.4021105207984164e-6,85.55319421678888,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g18.0,18.0,13.0,0.7,0.7010716603438617,0.001530943348373924,0.0725,custom_barabasi_albert,0.9881210327148438,0.9970760843924747,0.9970644496026382,40000,40000,1.4021114935758305e-6,1.4021161443000807e-6,94.08389709218577,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g22.0,22.0,15.0,0.7,0.7024312047404554,0.0034731496292220564,0.08,custom_barabasi_albert,0.9881210327148438,0.9970110507559705,0.9968924117258561,40000,40000,1.4021168497357905e-6,1.4021176450995654e-6,111.19028772448958,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g24.0,24.0,17.0,0.7,0.6964016796299719,0.005140457671468646,0.0525,custom_barabasi_albert,0.9881210327148438,0.9971711886405737,0.997012004246716,40000,40000,1.4021073377890048e-6,1.4021099672412163e-6,99.69523570957726,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g26.0,26.0,18.0,0.7,0.7024643343794451,0.0035204776849216495,0.08,custom_barabasi_albert,0.9881210327148438,0.9970124700056032,0.9969719300282541,40000,40000,1.4021136682806912e-6,1.4021162724198177e-6,87.76402457008273,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g28.0,28.0,20.0,0.7,0.7030671350075335,0.004381621439333612,0.0675,custom_barabasi_albert,0.9881210327148438,0.9969590487886042,0.996886937564145,40000,40000,1.402116361015615e-6,1.402117473903175e-6,94.43818030624294,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g30.0,30.0,21.0,0.7,0.7029070831803345,0.004152975971906432,0.065,custom_barabasi_albert,0.9881210327148438,0.9971392865293149,0.9970035614997089,40000,40000,1.402110705317483e-6,1.4021157943577833e-6,105.72478154757742,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g32.0,32.0,22.0,0.7,0.7006827599653264,0.0009753713790377245,0.0625,custom_barabasi_albert,0.9881210327148438,0.9969112022673472,0.9969118141586727,40000,40000,1.4021099776773127e-6,1.402111983406229e-6,116.6753960139648,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g36.0,36.0,25.0,0.7,0.7006265292877882,0.0008950418396975429,0.0525,custom_barabasi_albert,0.9881210327148438,0.9971348184199151,0.997102915268795,40000,40000,1.4021023120314169e-6,1.4021062881841573e-6,116.08142207342834,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g40.0,40.0,28.0,0.7,0.6981960929442221,0.0025770100796826006,0.045,custom_barabasi_albert,0.9881210327148438,0.9970468497748617,0.9968141753792038,40000,40000,1.4021116185869431e-6,1.402116241333573e-6,105.29758861040258,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g42.0,42.0,29.0,0.7,0.7075925204878986,0.010846457839855146,0.0325,custom_barabasi_albert,0.9881210327148438,0.9972694946711907,0.9970241022902315,40000,40000,1.4021105574357762e-6,1.4021112579865047e-6,114.67673511364583,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g44.0,44.0,31.0,0.7,0.7162620070891649,0.02323143869880703,0.0425,custom_barabasi_albert,0.9881210327148438,0.9968503372068435,0.9970392373727143,40000,40000,1.4021189980173432e-6,1.4021225083205024e-6,147.00515324408713,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g46.0,46.0,32.0,0.7,0.7056898501887799,0.008128357412542841,0.035,custom_barabasi_albert,0.9881210327148438,0.9971797398755631,0.9970154472359521,40000,40000,1.4021117926699134e-6,1.4021099215000277e-6,167.28338177007433,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g48.0,48.0,34.0,0.7,0.6986334941975471,0.0019521511463612856,0.035,custom_barabasi_albert,0.9881210327148438,0.997234337023155,0.9970820599845659,40000,40000,1.4021096952365752e-6,1.4021111096607086e-6,126.15710633248312,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
g50.0,50.0,35.0,0.7,0.6890138070051368,0.01569456142123306,0.03,custom_barabasi_albert,0.9881210327148438,0.9968196038373626,0.9969808066323158,40000,40000,1.4021122380913909e-6,1.402112176140946e-6,166.91494686828082,1.9872409242760407,0.7234788833520114,0.12906049326893454,1.409652327417009
