name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g10.0,10.0,8.0,0.35,0.3500000000000001,3.1720657846433045e-16,0.135,custom_erdos_renyi,0.98809814453125,0.9759333843056472,0.9776062957579207,888,980,9.942434776671893e-6,9.893173005176559e-6,70.13380506920919
g12.0,12.0,10.0,0.35,0.35000000000000003,1.5860328923216522e-16,0.1125,custom_erdos_renyi,0.98809814453125,0.9754389338342077,0.9778897264165315,872,975,9.976727297827948e-6,9.910798694640066e-6,85.55319421678888
g18.0,18.0,14.0,0.35,0.35000000000000003,1.5860328923216522e-16,0.075,custom_erdos_renyi,0.98809814453125,0.9760053978931208,0.977283896778703,874,967,9.952732609591619e-6,9.896467843995005e-6,94.08389709218577
g20.0,20.0,16.0,0.35,0.3500000000000002,6.344131569286609e-16,0.0675,custom_erdos_renyi,0.98809814453125,0.9751961831013237,0.9778454678771776,862,987,9.896170145740069e-6,9.971029551262157e-6,103.75259452210241
g22.0,22.0,18.0,0.35,0.34869505225186787,0.003728422137520322,0.05,custom_erdos_renyi,0.98809814453125,0.9751917741447678,0.9772091268821823,867,959,9.959591656338862e-6,9.943685456363649e-6,111.19028772448958
g26.0,26.0,21.0,0.35,0.3502690125221689,0.000768607206196949,0.04,custom_erdos_renyi,0.98809814453125,0.9754996449808654,0.9770520863544616,864,950,9.939543345105495e-6,9.945604442701539e-6,87.76402457008273
g28.0,28.0,22.0,0.35,0.34334624602044106,0.019010725655882625,0.04,custom_erdos_renyi,0.98809814453125,0.975404089340176,0.9768160779969035,872,947,9.921351795116884e-6,9.909657177759046e-6,94.43818030624294
g38.0,38.0,30.0,0.35,0.3502469561282622,0.0007055889378919973,0.0375,custom_erdos_renyi,0.98809814453125,0.975674413303452,0.9780053261016806,877,993,9.957281144307162e-6,9.97400200972165e-6,127.808958987044
g44.0,44.0,35.0,0.35,0.35183838269826867,0.005252521995053407,0.0225,custom_erdos_renyi,0.98809814453125,0.975262090600727,0.9768922859635156,856,936,9.947175755198323e-6,9.910685411340658e-6,147.00515324408713
g48.0,48.0,38.0,0.35,0.3585001699926063,0.024286199978875236,0.02,custom_erdos_renyi,0.98809814453125,0.9754998408224664,0.976850829526729,869,937,9.930009217143116e-6,9.940888075321563e-6,126.15710633248312
g50.0,50.0,40.0,0.35,0.3449961541296151,0.01429670248681395,0.02,custom_erdos_renyi,0.98809814453125,0.9756849346697702,0.9768606511811266,876,943,9.924941461070258e-6,9.987946624323563e-6,166.91494686828082
