name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g12.0_8.0,12.0,8.0,0.65,0.6542431946318368,0.006527991741287316,0.13785359955265308,custom_geometric,0.9880905151367188,0.975440121125864,0.9809794428321382,872,1207,9.939977628298236e-6,9.971673752939836e-6,85.55319421678888
g14.0_7.0,14.0,7.0,0.65,0.6380468171942141,0.018389512008901453,0.1251061821725657,custom_geometric,0.9880905151367188,0.9751886573481084,0.9810579232077525,860,1203,9.961436389011036e-6,9.969438287720216e-6,84.07133164056063
g20.0_9.0,20.0,9.0,0.65,0.6515249644884656,0.002346099213024029,0.09126428455276062,custom_geometric,0.9880905151367188,0.9751793623124927,0.9809252009923431,861,1197,9.981432606609442e-6,9.938069946119343e-6,103.75259452210241
g22.0_15.0,22.0,15.0,0.65,0.6515830805698705,0.0024355085690314507,0.07507195820772136,custom_geometric,0.9880905151367188,0.9754625232958141,0.9804157557296451,868,1172,9.90613697371412e-6,9.995290929355749e-6,111.19028772448958
g24.0_13.0,24.0,13.0,0.65,0.6579835377619311,0.012282365787586244,0.07814872578348225,custom_geometric,0.9880905151367188,0.9754140166421333,0.9807685327595357,872,1206,9.912561298952571e-6,9.96168508463069e-6,99.69523570957726
g32.0_19.0,32.0,19.0,0.65,0.6575137387258952,0.011559598039838807,0.056819062760265666,custom_geometric,0.9880905151367188,0.9751865623774515,0.9809100799369169,867,1212,9.969359341915895e-6,9.962583924688628e-6,116.6753960139648
g34.0_19.0,34.0,19.0,0.65,0.6518847453141031,0.0028996081755432272,0.05003124960802846,custom_geometric,0.9880905151367188,0.9754308905781301,0.9805552593836913,871,1176,9.941360388454612e-6,9.949106340112479e-6,123.90510826483751
g36.0_19.0,36.0,19.0,0.65,0.654863928902112,0.007482967541710704,0.05294585616525112,custom_geometric,0.9880905151367188,0.9754320092990755,0.9810623093993456,869,1222,9.902707196862703e-6,9.929256634635519e-6,116.08142207342834
g38.0_21.0,38.0,21.0,0.65,0.6621707140736122,0.018724175497864835,0.047410819426296325,custom_geometric,0.9880905151367188,0.9756719133449178,0.9807037651672076,877,1192,9.925847165803692e-6,9.934877659101282e-6,127.808958987044
g40.0_19.0,40.0,19.0,0.65,0.6510878884910406,0.0016736746016008898,0.04978290475583579,custom_geometric,0.9880905151367188,0.9751384380294094,0.9810535869764747,867,1215,9.896709771223255e-6,9.995715568367203e-6,105.29758861040258
g42.0_25.0,42.0,25.0,0.65,0.6418660817921916,0.01251372031970523,0.03909204956648076,custom_geometric,0.9880905151367188,0.9754085134080407,0.9805466816158224,869,1184,9.994286696207721e-6,9.998359377205723e-6,114.67673511364583
g50.0_25.0,50.0,25.0,0.65,0.6639080227082933,0.02139695801275889,0.04033162977502062,custom_geometric,0.9880905151367188,0.9756692933936989,0.9811736433749912,876,1228,9.983322812823214e-6,9.916430545708899e-6,166.91494686828082
g50.0_28.0,50.0,28.0,0.65,0.6446754785280833,0.008191571495256546,0.03646336467802789,custom_geometric,0.9880905151367188,0.975672736516969,0.9808202591096433,876,1196,9.92451268891359e-6,9.948040018581406e-6,166.91494686828082
g50.0_31.0,50.0,31.0,0.65,0.6392345220283759,0.016562273802498587,0.03278469044056752,custom_geometric,0.9880905151367188,0.9756750259493592,0.980418145791505,876,1170,9.900071812202205e-6,9.98519526401731e-6,166.91494686828082
