name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g10.0,10.0,7.0,0.7,0.6980585250480653,0.002773535645620916,0.105,custom_geometric,0.9881744384765625,0.9761634701853035,0.9802684773237301,894,1167,9.909174045918956e-6,9.955839369163444e-6,70.13380506920919
g12.0,12.0,8.0,0.7,0.7034896183160237,0.004985169022891129,0.1525,custom_geometric,0.9881744384765625,0.9756761828000278,0.9822027495320103,878,1293,9.937405537674415e-6,9.97026609975138e-6,85.55319421678888
g14.0,14.0,10.0,0.7,0.6965149637168928,0.004978623261581637,0.0725,custom_geometric,0.9881744384765625,0.9751550404386299,0.980031637204796,866,1124,9.944914026671636e-6,9.97663800925792e-6,84.07133164056063
g16.0,16.0,11.0,0.7,0.7006720027289346,0.0009600038984780569,0.0475,custom_geometric,0.9881744384765625,0.9756871924390031,0.9794735704474956,878,1102,9.968198982107657e-6,9.94832933970402e-6,106.09138229861615
g18.0,18.0,13.0,0.7,0.6947181045284537,0.007545564959351754,0.04,custom_geometric,0.9881744384765625,0.9759651659599575,0.9791747587874864,880,1072,9.92013546899373e-6,9.921161476883489e-6,94.08389709218577
g20.0,20.0,14.0,0.7,0.7000000000000002,3.1720657846433045e-16,0.085,custom_geometric,0.9881744384765625,0.9751401876298119,0.9823913568563604,867,1314,9.978374878955032e-6,9.935264318663723e-6,103.75259452210241
g22.0,22.0,15.0,0.7,0.7028500595857468,0.004071513693924,0.0875,custom_geometric,0.9881744384765625,0.9756976215858693,0.9815001451092645,873,1262,9.996387496935544e-6,9.993149603058915e-6,111.19028772448958
g24.0,24.0,17.0,0.7,0.6975544179558906,0.003493688634441978,0.0425,custom_geometric,0.9881744384765625,0.9756540382137864,0.9797057857457709,878,1126,9.912682239876514e-6,9.964930567790686e-6,99.69523570957726
g26.0,26.0,18.0,0.7,0.7018243051220253,0.0026061501743219434,0.0325,custom_geometric,0.9881744384765625,0.9757364447180934,0.9794669761832185,870,1100,9.887029562005711e-6,9.908907334488237e-6,87.76402457008273
g28.0,28.0,20.0,0.7,0.7082312493344921,0.011758927620703075,0.0325,custom_geometric,0.9881744384765625,0.9756429546287293,0.9794504513740881,877,1100,9.977108188452544e-6,9.888351580722432e-6,94.43818030624294
g30.0,30.0,21.0,0.7,0.7018717816180619,0.0026739737400884233,0.035,custom_geometric,0.9881744384765625,0.9755191955839078,0.98004267478986,884,1134,9.905037029875417e-6,9.939171442124861e-6,105.72478154757742
g32.0,32.0,22.0,0.7,0.6975362577643663,0.0035196317651908786,0.035,custom_geometric,0.9881744384765625,0.9756978035499382,0.9802763498666877,874,1161,9.954393918487625e-6,9.94859889438815e-6,116.6753960139648
g34.0,34.0,24.0,0.7,0.7000000000000005,7.930164461608261e-16,0.05,custom_geometric,0.9881744384765625,0.9756646518250984,0.9825693804539313,877,1364,9.957338606952915e-6,9.92970084895406e-6,123.90510826483751
g36.0,36.0,25.0,0.7,0.6950856355095814,0.0070205207005979995,0.02,custom_geometric,0.9881744384765625,0.9756819351542677,0.979513050046208,874,1093,9.952355683712222e-6,9.895506330859834e-6,116.08142207342834
g38.0,38.0,27.0,0.7,0.6971759896876666,0.0040343004461905274,0.025,custom_geometric,0.9881744384765625,0.9756410987774382,0.9800239075215019,883,1143,9.885352643984602e-6,9.97584691869724e-6,127.808958987044
g40.0,40.0,28.0,0.7,0.7000000000000003,4.758098676964956e-16,0.0425,custom_geometric,0.9881744384765625,0.9756576998677494,0.9825838684543765,873,1363,9.914899639473784e-6,9.996930555899227e-6,105.29758861040258
g42.0,42.0,29.0,0.7,0.7045488180653227,0.006498311521889575,0.02,custom_geometric,0.9881744384765625,0.9756488794070074,0.9798965138080807,875,1129,9.945127713822943e-6,9.91534205430078e-6,114.67673511364583
g44.0,44.0,31.0,0.7,0.6937083155498408,0.008988120643084503,0.02,custom_geometric,0.9881744384765625,0.9752056280826334,0.9794723425145284,862,1098,9.985710476029253e-6,9.99781727153981e-6,147.00515324408713
g46.0,46.0,32.0,0.7,0.6836453847099876,0.023363736128589094,0.0175,custom_geometric,0.9881744384765625,0.9756876673942552,0.9795850445881175,874,1110,9.930356465848167e-6,9.955032728714563e-6,167.28338177007433
g48.0,48.0,34.0,0.7,0.6860988161364753,0.019858834090749546,0.02,custom_geometric,0.9881744384765625,0.9757286153618661,0.9793994667073849,875,1106,9.924317851984447e-6,9.913810774031528e-6,126.15710633248312
g50.0,50.0,35.0,0.7,0.7074593737836445,0.010656248262349408,0.0175,custom_geometric,0.9881744384765625,0.9756590570413138,0.9794920635019891,881,1095,9.925657103004859e-6,9.953378810045876e-6,166.91494686828082
