name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g10.0,10.0,7.0,0.7,0.7000000000000003,4.758098676964956e-16,0.17,custom_watts_strogatz,0.9890289306640625,0.9772489987355465,0.9835599747186675,963,1462,9.887470154762434e-6,9.970006765613881e-6,70.13380506920919
g12.0,12.0,8.0,0.7,0.7022724133595216,0.003246304799316662,0.0475,custom_watts_strogatz,0.9890289306640625,0.9768252270105474,0.9794441724956833,945,1077,9.966010418055449e-6,9.949438379786013e-6,85.55319421678888
g14.0,14.0,10.0,0.7,0.7065923337012056,0.009417619573150857,0.0375,custom_watts_strogatz,0.9890289306640625,0.9768526445415985,0.9796250430274831,933,1089,9.89856944141887e-6,9.972760903094891e-6,84.07133164056063
g16.0,16.0,11.0,0.7,0.7050253785721416,0.007179112245916703,0.03,custom_watts_strogatz,0.9890289306640625,0.9768371552590935,0.979160112114882,945,1086,9.977608231459545e-6,9.946111521774714e-6,106.09138229861615
g18.0,18.0,13.0,0.7,0.7050550706707525,0.007221529529646434,0.025,custom_watts_strogatz,0.9890289306640625,0.977102870602214,0.9790265374119083,947,1060,9.939376659245935e-6,9.954902048692205e-6,94.08389709218577
g20.0,20.0,14.0,0.7,0.7080396058525283,0.011485151217897695,0.0925,custom_watts_strogatz,0.9890289306640625,0.976839574885283,0.98337989735013,934,1436,9.935873953814678e-6,9.978834051987961e-6,103.75259452210241
g22.0,22.0,15.0,0.7,0.6977672148050883,0.003189693135588082,0.0825,custom_watts_strogatz,0.9890289306640625,0.9768400283458611,0.9831549422258508,941,1425,9.906736909204295e-6,9.979458479719705e-6,111.19028772448958
g24.0,24.0,17.0,0.7,0.7037771502804523,0.005395928972074765,0.075,custom_watts_strogatz,0.9890289306640625,0.9767904144364093,0.9832624287691621,946,1429,9.922382233795712e-6,9.989166029982042e-6,99.69523570957726
g26.0,26.0,18.0,0.7,0.7011205355177366,0.0016007650253380135,0.0725,custom_watts_strogatz,0.9890289306640625,0.9771139412438599,0.9831634931106666,937,1427,9.926434767409953e-6,9.963558978198783e-6,87.76402457008273
g28.0,28.0,20.0,0.7,0.7101646901804114,0.014520985972016344,0.02,custom_watts_strogatz,0.9890289306640625,0.9767936202242913,0.9791781744450084,945,1075,9.906324390018817e-6,9.929092217308977e-6,94.43818030624294
g30.0,30.0,21.0,0.7,0.7098158599936037,0.014022657133719705,0.0175,custom_watts_strogatz,0.9890289306640625,0.9769167079621528,0.9791971219285793,951,1074,9.95203976141305e-6,9.97175161107644e-6,105.72478154757742
g32.0,32.0,22.0,0.7,0.6977934260438438,0.0031522485087945706,0.02,custom_watts_strogatz,0.9890289306640625,0.9768509439923868,0.9797749481868773,940,1114,9.986737309897187e-6,9.936095018092672e-6,116.6753960139648
g34.0,34.0,24.0,0.7,0.7059860484974841,0.00855149785354884,0.0175,custom_watts_strogatz,0.9890289306640625,0.9768286580156678,0.9796249487704318,943,1110,9.940594927565494e-6,9.975840957104909e-6,123.90510826483751
g38.0,38.0,27.0,0.7,0.6933063077005212,0.009562417570684005,0.015,custom_watts_strogatz,0.9890289306640625,0.9770320137847831,0.9796281254777174,950,1112,9.966990706766765e-6,9.974528189099496e-6,127.808958987044
g40.0,40.0,28.0,0.7,0.7107313096693917,0.01533044238484533,0.015,custom_watts_strogatz,0.9890289306640625,0.9768183428275394,0.9794545625384646,939,1105,9.95871095366141e-6,9.959219184785262e-6,105.29758861040258
g42.0,42.0,29.0,0.7,0.6911413745067435,0.012655179276080637,0.045,custom_watts_strogatz,0.9890289306640625,0.9767892250685133,0.9835499988119896,943,1462,9.910557989711855e-6,9.980037682821852e-6,114.67673511364583
g44.0,44.0,31.0,0.7,0.7007558198369521,0.0010797426242173788,0.0425,custom_watts_strogatz,0.9890289306640625,0.9766360921536957,0.9833702610192961,930,1435,9.884333215415264e-6,9.936692720535767e-6,147.00515324408713
g46.0,46.0,32.0,0.7,0.7014528057275816,0.00207543675368809,0.0425,custom_watts_strogatz,0.9890289306640625,0.9768168788064161,0.9833402698994209,942,1447,9.9246604142178e-6,9.996330835676526e-6,167.28338177007433
g48.0,48.0,34.0,0.7,0.704830276748302,0.00690039535471722,0.04,custom_watts_strogatz,0.9890289306640625,0.9768529351694846,0.9833479471621919,943,1440,9.958756013083315e-6,9.93325622314356e-6,126.15710633248312
g50.0,50.0,35.0,0.7,0.6864516223778919,0.01935482517444005,0.0375,custom_watts_strogatz,0.9890289306640625,0.9770180415330683,0.9833699323749976,950,1437,9.948254332342588e-6,9.98918553582473e-6,166.91494686828082
