name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.605,15,12.0,0.605,0.604669454271785,0.0005463565755619897,0.117,custom_barabasi_albert,0.9800872802734375,0.9640614525172599,0.9722184518737219,523,747,9.7952256026268e-6,9.946389585957505e-6,99.38923368371172
g0.62,15,12.0,0.62,0.6192618337214771,0.001190590771811058,0.113,custom_barabasi_albert,0.9804229736328125,0.9645859904188431,0.9712732016618053,531,698,9.958572075002836e-6,9.873835250501228e-6,99.38923368371172
g0.665,15,12.0,0.665,0.665414956850601,0.0006239952640616547,0.126,custom_barabasi_albert,0.9800796508789062,0.9640614393672023,0.9720132822575747,522,730,9.974051774219728e-6,9.95219792643276e-6,99.38923368371172
g0.68,15,12.0,0.68,0.6790295367023901,0.0014271519082499546,0.103,custom_barabasi_albert,0.9918365478515625,0.9817179585520991,0.9845132556442295,1281,1573,9.917823036470486e-6,9.99975258017538e-6,99.38923368371172
g0.695,15,12.0,0.695,0.6938604663555488,0.0016396167546060218,0.108,custom_barabasi_albert,0.9840545654296875,0.9698882101842926,0.9753885860902408,653,858,9.969458227621075e-6,9.88951726119125e-6,99.38923368371172
g0.725,15,12.0,0.725,0.7245481644615226,0.0006232214323826005,0.106,custom_barabasi_albert,0.983062744140625,0.9684528000989787,0.9748034034635105,615,844,9.936034525259707e-6,9.904714369013412e-6,99.38923368371172
g0.755,15,12.0,0.755,0.7556518951578514,0.0008634372951673596,0.073,custom_barabasi_albert,0.98516845703125,0.9710715389625733,0.9756676168748423,703,885,9.874446634555722e-6,9.983740076824343e-6,99.38923368371172
g0.785,15,12.0,0.785,0.7837368361691556,0.0016091258991649175,0.07,custom_barabasi_albert,0.98712158203125,0.9740705912545005,0.978114956935526,810,1010,9.94633882153706e-6,9.926126000064928e-6,99.38923368371172
g0.8,15,12.0,0.8,0.799627650889664,0.0004654363879200152,0.074,custom_barabasi_albert,0.9881362915039062,0.9756391163648955,0.9796515294679301,880,1112,9.923488561131011e-6,9.966311936282501e-6,99.38923368371172
g0.815,15,12.0,0.815,0.814964613640099,4.3418846504255835e-5,0.105,custom_barabasi_albert,0.9893264770507812,0.9775561465019783,0.9824084768782854,978,1339,9.952812137420386e-6,9.930803603341865e-6,99.38923368371172
g0.845,15,12.0,0.845,0.8450058532773578,6.926955453021892e-6,0.088,custom_barabasi_albert,0.9910507202148438,0.9802463950561857,0.9840489313553541,1167,1523,9.970332056963294e-6,9.999628319795617e-6,99.38923368371172
g0.86,15,12.0,0.86,0.8596485720623319,0.00040863713682333673,0.053,custom_barabasi_albert,0.9921417236328125,0.9822632244421137,0.9845306909855622,1330,1578,9.937999171066858e-6,9.967982549735632e-6,99.38923368371172
g0.875,15,12.0,0.875,0.87494535262376,6.2454144274225e-5,0.132,custom_barabasi_albert,0.992950439453125,0.9836755700325549,0.9879085766782596,1483,2150,9.931123189921287e-6,9.988819969608542e-6,99.38923368371172
g0.89,15,12.0,0.89,0.8890112073276957,0.0011110030025891454,0.032,custom_barabasi_albert,0.99505615234375,0.9877381752997391,0.9886160278841161,2116,2317,9.954841911907764e-6,9.982285324006135e-6,99.38923368371172
g0.905,15,12.0,0.905,0.9044001862488964,0.000662777625528871,0.038,custom_barabasi_albert,0.9956588745117188,0.9889356170052553,0.9899221777781867,2409,2705,9.969370784096432e-6,9.963131002765913e-6,99.38923368371172
g0.92,15,12.0,0.92,0.9206373046090499,0.0006927224011411644,0.044,custom_barabasi_albert,0.9958724975585938,0.9893975912246191,0.9905443200003413,2536,2926,9.988979874447912e-6,9.985846008614407e-6,99.38923368371172
g0.935,15,12.0,0.935,0.9348796381193932,0.0001287292840714684,0.162,custom_barabasi_albert,0.9971694946289062,0.9921999048883684,0.9944782373390331,3696,5603,9.980873015513758e-6,9.982962118432193e-6,99.38923368371172
g0.95,15,12.0,0.95,0.9514265955536464,0.0015016795301541442,0.014,custom_barabasi_albert,0.9974136352539062,0.992761087416471,0.9930971135481438,4048,4287,9.983896859633301e-6,9.997827756846878e-6,99.38923368371172
