name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.605_13,15,13,0.605,0.6153933481398955,0.017179087834538122,0.12233231925448179,custom_barabasi_albert,0.9800796508789062,0.9640650926678475,0.9717347209904045,522,721,9.97671469257777e-6,9.955805442857235e-6,99.38923368371172
g0.62_12,15,12,0.62,0.6191268217949978,0.0014083519435519546,0.13270204906840277,custom_barabasi_albert,0.9800796508789062,0.9640588639540071,0.9723358052417787,522,740,9.981527693631032e-6,9.890876533608095e-6,99.38923368371172
g0.665_9,15,9,0.665,0.669720389715372,0.007098330399055519,0.1409719807661265,custom_barabasi_albert,0.9801254272460938,0.9640492935357732,0.9733953452828696,523,775,9.99470752113818e-6,9.955020204538423e-6,99.38923368371172
g0.68_11,15,11,0.68,0.6650700891076242,0.021955751312317397,0.13248550365888753,custom_barabasi_albert,0.9908828735351562,0.9799803379442367,0.9838565774133315,1146,1495,9.925265873927946e-6,9.952151847653079e-6,99.38923368371172
g0.695_6,15,6,0.695,0.6918842760543568,0.004483056036896676,0.1734633494582328,custom_barabasi_albert,0.9810867309570312,0.9655206323880852,0.9731227990960954,550,769,9.9520028593314e-6,9.88307535451649e-6,99.38923368371172
g0.71_6,15,6,0.71,0.718756697846315,0.012333377248331062,0.17169860020072347,custom_barabasi_albert,0.9824066162109375,0.9672093175710152,0.9748632856455792,592,838,9.89484323024592e-6,9.820876896465824e-6,99.38923368371172
g0.725_6,15,6,0.725,0.7276934136168726,0.0037150532646518433,0.1541997640954039,custom_barabasi_albert,0.9831695556640625,0.9684239493310003,0.974822862046272,619,840,9.844586289803336e-6,9.934916338411037e-6,99.38923368371172
g0.74_9,15,9,0.74,0.7400388297987224,5.247270097619461e-5,0.15079091680754528,custom_barabasi_albert,0.9838943481445312,0.96903904206994,0.9772110048763917,647,966,9.892265971561676e-6,9.95924703087181e-6,99.38923368371172
g0.755_6,15,6,0.755,0.7568649446106497,0.0024701253121187775,0.1447401937198932,custom_barabasi_albert,0.986419677734375,0.9730902010149318,0.9779946071374683,768,999,9.879388453926108e-6,9.917943345982838e-6,99.38923368371172
g0.77_5,15,5,0.77,0.7655593470737767,0.005767081722367935,0.15646087776661297,custom_barabasi_albert,0.9912796020507812,0.9807963646702088,0.9840646851588284,1198,1522,9.944786589055621e-6,9.92860740012258e-6,99.38923368371172
g0.785_5,15,5,0.785,0.7835607690621955,0.0018334152073942857,0.15900903759856858,custom_barabasi_albert,0.9869842529296875,0.9738158615534134,0.9791773949035576,802,1087,9.88689997882819e-6,9.931895287779158e-6,99.38923368371172
g0.815_6,15,6,0.815,0.7978328244442657,0.02106401908679045,0.16003279357687192,custom_barabasi_albert,0.9888839721679688,0.9768421619299967,0.9817787850254877,938,1282,9.98005510038924e-6,9.946050217118918e-6,99.38923368371172
g0.83_3,15,3,0.83,0.846872383501392,0.020328172893243478,0.17739373279791285,custom_barabasi_albert,0.991546630859375,0.9813660271223225,0.9847142062655795,1234,1593,9.994897932796842e-6,9.957314200864653e-6,99.38923368371172
g0.845_8,15,8,0.845,0.8539999183729069,0.010650790973854348,0.16230661703242766,custom_barabasi_albert,0.99163818359375,0.9813856675871712,0.9862416071383406,1249,1829,9.938355113175978e-6,9.971866710090094e-6,99.38923368371172
g0.86_3,15,3,0.86,0.8624084809254629,0.0028005592156544927,0.1428012947468941,custom_barabasi_albert,0.9964370727539062,0.9905864541262843,0.9915383385984627,2937,3341,9.999274510619216e-6,9.965696039587746e-6,99.38923368371172
g0.875_13,15,13,0.875,0.8826379856336726,0.00872912643848294,0.13440835884196473,custom_barabasi_albert,0.993499755859375,0.9847314795300977,0.9887782460477952,1609,2353,9.981967058869667e-6,9.991245072338284e-6,99.38923368371172
g0.89_5,15,5,0.89,0.884260272607325,0.006449131901882058,0.1345249354659772,custom_barabasi_albert,0.9935989379882812,0.9849633920961167,0.9878818839887522,1634,2143,9.93516288824714e-6,9.964539873008604e-6,99.38923368371172
g0.935_1,15,1,0.935,0.9576285777724627,0.024201687457179284,0.24047755624672904,custom_barabasi_albert,0.9977493286132812,0.9935311858710053,0.9944375344058312,4647,5553,9.987897868574125e-6,9.997555465018904e-6,99.38923368371172
g0.95_2,15,2,0.95,0.9550744527984626,0.0053415292615396175,0.23690899292564346,custom_barabasi_albert,0.9976806640625,0.9933894445519812,0.9943177887568081,4515,5409,9.999699834534193e-6,9.991362960537487e-6,99.38923368371172
