name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9915780592821438,522,3450,9.978634230578542e-6,7.474040216726152e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.9640591397752544,NaN,522,40000,9.988551396084011e-6,NaN,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640791340457692,0.9911907882595942,522,3172,9.929482237158727e-6,9.980294831568592e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.964059163935811,0.9929856954001429,522,4189,9.975447712001762e-6,9.990882528926326e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640577545882081,NaN,522,40000,9.991957762300885e-6,NaN,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640868174530761,0.9902554016749375,522,2781,9.917939087444871e-6,9.953581834889775e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640569853319685,0.9915403124345044,523,3340,9.802835025440881e-6,9.99078153673949e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.9640554441626089,0.9980692821437247,522,19381,9.99989876213081e-6,9.7831189573086e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.9640704392400671,0.989050924161127,522,2416,9.95796380628966e-6,9.906326145725508e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.9640627880636854,0.990133839454715,522,2775,9.984980033184154e-6,9.915100996453052e-6,99.38923368371172
g0.38,15,12.0,0.38,0.38,0.0,0.092,custom_erdos_renyi,0.981842041015625,0.9669079830169055,NaN,574,40000,9.824145156073216e-6,NaN,99.38923368371172
g0.395,15,12.0,0.395,0.395,0.0,0.093,custom_erdos_renyi,0.9800796508789062,0.9640764940004319,0.9950763011272518,522,7553,9.918038909456639e-6,9.5608849217943e-6,99.38923368371172
g0.41,15,12.0,0.41,0.41,0.0,0.094,custom_erdos_renyi,0.9800796508789062,0.9640526161234412,0.993293460683363,523,4385,9.794008189734082e-6,9.958821488048608e-6,99.38923368371172
g0.425,15,12.0,0.425,0.4231893126750364,0.00426044076462021,0.096,custom_erdos_renyi,0.9800796508789062,0.9640541825103277,0.9915990649091017,522,3387,9.994195517143423e-6,9.9504549868068e-6,99.38923368371172
