name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.26_13,15,13,0.26,0.25378629081403686,0.023898881484473635,0.08358575272076325,custom_erdos_renyi,0.9800796508789062,0.964114476470644,0.9686437970932774,522,618,9.90303319506336e-6,9.831839432733469e-6,99.38923368371172
g0.38_10,15,10,0.38,0.3745744041650465,0.014277883776193422,0.10159018285284128,custom_erdos_renyi,0.9800796508789062,0.9640549716261211,0.9697611660935415,522,660,9.985798361061837e-6,9.975561001462907e-6,99.38923368371172
g0.395_8,15,8,0.395,0.3871874186143553,0.019778687052265122,0.09753547194482427,custom_erdos_renyi,0.9800796508789062,0.9640649025860404,0.9676898503670692,522,605,9.971129851960026e-6,9.961724051793519e-6,99.38923368371172
g0.44_9,15,9,0.44,0.42912398166096477,0.024718223497807345,0.10400525209594441,custom_erdos_renyi,0.9800796508789062,0.9640738343179392,0.9708719482924024,522,689,9.959749079441194e-6,9.861864337712412e-6,99.38923368371172
g0.485_8,15,8,0.485,0.47873842466803135,0.012910464601997193,0.12050364090816054,custom_erdos_renyi,0.9800796508789062,0.9640864925821464,0.9717166638633696,522,726,9.963752460151465e-6,9.956004870970148e-6,99.38923368371172
g0.59_6,15,6,0.59,0.5891449606463434,0.0014492192434857728,0.15087938001772844,custom_erdos_renyi,0.9935455322265625,0.9847955142492462,0.9887176574916287,1621,2349,9.995024298770083e-6,9.99770449822135e-6,99.38923368371172
g0.605_5,15,5,0.605,0.5947358808294738,0.016965486232274653,0.16114474070873963,custom_erdos_renyi,0.9800796508789062,0.9641507955636011,0.9730733325447932,522,769,9.94812110929888e-6,9.911596747874674e-6,99.38923368371172
g0.635_5,15,5,0.635,0.6449003300783274,0.015591070989491902,0.16237280284549083,custom_erdos_renyi,0.9800796508789062,0.9640694274336564,0.9711235286858646,522,703,9.976374179182512e-6,9.827834608289177e-6,99.38923368371172
g0.665_5,15,5,0.665,0.6514529530715094,0.020371499140587404,0.1583682469555847,custom_erdos_renyi,0.9800796508789062,0.9640807670074666,0.972017760598924,522,732,9.910020782655238e-6,9.859344810569937e-6,99.38923368371172
g0.68_7,15,7,0.68,0.6765385319029094,0.0050903942604274876,0.16342917270902368,custom_erdos_renyi,0.9800872802734375,0.9640719782887474,0.9728307487109467,522,763,9.975887364399583e-6,9.93761714429553e-6,99.38923368371172
g0.695_7,15,7,0.695,0.6786855129688583,0.023474082059196676,0.13500180291854896,custom_erdos_renyi,0.9800872802734375,0.9640613210388189,0.9722696116434014,523,746,9.806540879814252e-6,9.917022463223901e-6,99.38923368371172
g0.71_7,15,7,0.71,0.6992719871972983,0.015109877186903714,0.1489027606086055,custom_erdos_renyi,0.9810943603515625,0.9655182112997831,0.9736316252564319,551,790,9.9069239516969e-6,9.907772186679153e-6,99.38923368371172
g0.74_4,15,4,0.74,0.744676411186625,0.006319474576520249,0.18289531910182213,custom_erdos_renyi,0.984466552734375,0.970174921481472,0.9760937697103739,670,898,9.949086656274586e-6,9.985755436064947e-6,99.38923368371172
g0.755_4,15,4,0.755,0.7619330876827719,0.009182897593075362,0.18200842500839892,custom_erdos_renyi,0.9866104125976562,0.9733363216935939,0.9789837693362495,779,1060,9.957658197140562e-6,9.974258338457664e-6,99.38923368371172
g0.77_5,15,5,0.77,0.7533654468772836,0.02160331574378759,0.17995187402880247,custom_erdos_renyi,0.9849472045898438,0.9711609233796308,0.9775986378820839,693,985,9.885000139681077e-6,9.948656430086578e-6,99.38923368371172
g0.8_6,15,6,0.8,0.8129298968882115,0.016162371110264306,0.17495862566828255,custom_erdos_renyi,0.989013671875,0.977021350726105,0.9828256848861521,950,1377,9.933551907537197e-6,9.954988994309577e-6,99.38923368371172
g0.86_4,15,4,0.86,0.8724641641870033,0.014493214170934136,0.1954409829246044,custom_erdos_renyi,0.9928359985351562,0.9835091426450147,0.9872903365289324,1459,2022,9.953224267916783e-6,9.942881514762858e-6,99.38923368371172
