name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.4,50,40.0,0.4,0.40448735648781775,0.011218391219544321,0.018,custom_erdos_renyi,0.9927978515625,0.9834127014318741,0.9867981046281116,1452,1946,9.989165269397304e-6,9.968544855354367e-6,166.91494686828082
g0.43,50,40.0,0.43,0.4230773535017274,0.016099177902959456,0.018,custom_erdos_renyi,0.9927978515625,0.9834132758934163,0.9868084391762393,1452,1939,9.960127519859086e-6,9.997741931444537e-6,166.91494686828082
g0.445,50,40.0,0.445,0.4396337074229146,0.012059084442888605,0.019,custom_erdos_renyi,0.9927978515625,0.9835211138814856,0.9869612439824182,1453,1972,9.950752389853434e-6,9.955764457419969e-6,166.91494686828082
g0.475,50,40.0,0.475,0.4801581827606081,0.010859332127596091,0.032,custom_erdos_renyi,0.9927978515625,0.9835047467052758,0.9885523158539049,1455,2321,9.963609132607187e-6,9.986118639865316e-6,166.91494686828082
g0.49,50,40.0,0.49,0.49895583824675777,0.01827722091175056,0.031,custom_erdos_renyi,0.9927978515625,0.9835036019314608,0.9885570702909381,1455,2324,9.972582814654629e-6,9.969205852167207e-6,166.91494686828082
g0.505,50,40.0,0.505,0.50762913453855,0.005206207007029623,0.016,custom_erdos_renyi,0.9927978515625,0.9834153844510779,0.9864121690228825,1452,1872,9.96507027584137e-6,9.986542007234256e-6,166.91494686828082
g0.52,50,40.0,0.52,0.5207662377986504,0.0014735342281737903,0.015,custom_erdos_renyi,0.9927978515625,0.983426623404284,0.9863059669174543,1451,1850,9.949915317580826e-6,9.97371225489041e-6,166.91494686828082
g0.55,50,40.0,0.55,0.5507328910868216,0.0013325292487663776,0.033,custom_erdos_renyi,0.9927978515625,0.9835033823963101,0.988711574853727,1455,2367,9.960755687016265e-6,9.954301571635238e-6,166.91494686828082
g0.565,50,40.0,0.565,0.5648376516626507,0.00028734218999875046,0.014,custom_erdos_renyi,0.9927978515625,0.9834401307430113,0.9861322673642713,1450,1823,9.943217065572219e-6,9.948217544714089e-6,166.91494686828082
g0.58,50,40.0,0.58,0.5751874561485735,0.008297489399011185,0.013,custom_erdos_renyi,0.9927978515625,0.9834330566454824,0.9860037553229928,1451,1803,9.941959596693195e-6,9.94904368081806e-6,166.91494686828082
g0.595,50,40.0,0.595,0.5909426724026502,0.006819037978739127,0.034,custom_erdos_renyi,0.9927978515625,0.9835033910963961,0.9888714180224984,1455,2398,9.958037848256662e-6,9.999890746625884e-6,166.91494686828082
g0.61,50,40.0,0.61,0.6052740004236444,0.007747540289107468,0.012,custom_erdos_renyi,0.9927978515625,0.9834583087287879,0.9857640773737598,1449,1763,9.939227373689796e-6,9.999865296594912e-6,166.91494686828082
g0.625,50,40.0,0.625,0.6347789810589489,0.015646369694318273,0.012,custom_erdos_renyi,0.9927978515625,0.9834580084648101,0.9858337362654156,1449,1770,9.947917598035483e-6,9.96942569359005e-6,166.91494686828082
g0.64,50,40.0,0.64,0.6338075814193119,0.009675654032325134,0.011,custom_erdos_renyi,0.9927978515625,0.9833693693023893,0.9856549532468023,1447,1739,9.98102411009505e-6,9.966166592156878e-6,166.91494686828082
g0.655,50,40.0,0.655,0.6408213463749373,0.02164679942757674,0.034,custom_erdos_renyi,0.9927978515625,0.9835035382196393,0.9888602735718282,1455,2405,9.955316655346769e-6,9.964620846181216e-6,166.91494686828082
g0.6699999999999999,50,40.0,0.6699999999999999,0.6647119780957356,0.00789257000636472,0.035,custom_erdos_renyi,0.9927978515625,NaN,0.9889017883518814,40000,2410,NaN,9.998810002687097e-6,166.91494686828082
g0.685,50,40.0,0.685,0.6966444629524711,0.016999215989008776,0.01,custom_erdos_renyi,0.9927978515625,0.9834037124542783,0.9853916623564033,1446,1707,9.925174309421969e-6,9.959418966976052e-6,166.91494686828082
g0.7,50,40.0,0.7,0.682506915310638,0.024990120984802786,0.01,custom_erdos_renyi,0.9927978515625,0.9833904765215952,0.9854671583050841,1447,1708,9.950684134646393e-6,9.971477655745797e-6,166.91494686828082
g0.715,50,40.0,0.715,0.708927033952307,0.008493658807962124,0.037,custom_erdos_renyi,0.9927978515625,NaN,0.989125012089808,40000,2470,NaN,9.99096691151058e-6,166.91494686828082
g0.73,50,40.0,0.73,0.7132516280630586,0.02294297525608403,0.037,custom_erdos_renyi,0.9927978515625,NaN,0.989155308369824,40000,2483,NaN,9.940952022224891e-6,166.91494686828082
g0.745,50,40.0,0.745,0.7402137321031972,0.0064245206668494086,0.036,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
g0.76,50,40.0,0.76,0.7564986041843156,0.00460709975747951,0.037,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
g0.8049999999999999,50,40.0,0.8049999999999999,0.7871529291216285,0.022170274383070128,0.038,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
g0.82,50,40.0,0.82,0.8004724259032961,0.02381411475207781,0.038,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
g0.835,50,40.0,0.835,0.8338414187540071,0.0013875224502908799,0.038,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
g0.85,50,40.0,0.85,0.8326657997730962,0.020393176737533877,0.038,custom_erdos_renyi,0.9927978515625,NaN,NaN,40000,40000,NaN,NaN,166.91494686828082
