name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.305_12,15,12,0.305,0.3091217011244203,0.013513774178427165,0.08727478007496134,custom_geometric,0.9800796508789062,0.9640680861161752,0.968446201092727,522,625,9.973229993548438e-6,9.995299356857501e-6,99.38923368371172
g0.335_9,15,9,0.335,0.3332762361346215,0.005145563777249361,0.08888508240897872,custom_geometric,0.9800796508789062,0.9640519516027718,0.9699026269758091,523,653,9.810082760575156e-6,9.909344523884034e-6,99.38923368371172
g0.365_12,15,12,0.365,0.3706679463599298,0.015528620164191199,0.09137786309066198,custom_geometric,0.9901504516601562,0.9788539699320413,0.9787843066350947,1060,1051,9.986614403934002e-6,9.920323268991504e-6,99.38923368371172
g0.38_10,15,10,0.38,0.3804325876403453,0.0011383885272245175,0.092028839176023,custom_geometric,0.9800796508789062,0.9640614220393292,0.9699365288364914,522,653,9.963530390871833e-6,9.956444863956637e-6,99.38923368371172
g0.395_11,15,11,0.395,0.3871041790348078,0.01998942016504355,0.09247361193565383,custom_geometric,0.9800872802734375,0.9640521484344892,0.9715842632370912,523,722,9.833175564716301e-6,9.85451955756722e-6,99.38923368371172
g0.47_10,15,10,0.47,0.4816080489340701,0.024697976455468378,0.098773869928938,custom_geometric,0.9800796508789062,0.9640579722366432,0.9704393371539237,522,683,9.970306011936048e-6,9.893847435771264e-6,99.38923368371172
g0.56_9,15,9,0.56,0.551319683481537,0.015500565211541098,0.109739663384062,custom_geometric,0.9800796508789062,0.9640527929747906,0.9730695341101894,523,771,9.827809464790782e-6,9.904233008922736e-6,99.38923368371172
g0.68_7,15,7,0.68,0.6735876766170672,0.009429887327842425,0.12751734791527852,custom_geometric,0.98052978515625,0.9651569159391336,0.9729113822965888,534,753,9.982109020784113e-6,9.905967411766303e-6,99.38923368371172
g0.695_7,15,7,0.695,0.681250281753623,0.019783767260974017,0.13614745986794308,custom_geometric,0.9804000854492188,0.9645685891660727,0.9735759069914552,531,788,9.881289797009085e-6,9.94833486456237e-6,99.38923368371172
g0.725_8,15,8,0.725,0.7421355839891991,0.023635288260964307,0.12420526560797222,custom_geometric,0.9842453002929688,0.9698999574945836,0.9779212848094078,661,1005,9.967569742419524e-6,9.891533431477528e-6,99.38923368371172
g0.785_4,15,4,0.785,0.7681741793005749,0.021434166496083026,0.12606379205042773,custom_geometric,0.9858932495117188,0.9722666818346336,0.9792482983505961,739,1080,9.937188508307715e-6,9.964075646295978e-6,99.38923368371172
g0.8_6,15,6,0.8,0.7973285004900482,0.0033393743874397808,0.1372276754209948,custom_geometric,0.9884567260742188,0.9760241548355817,0.9815932649782585,904,1254,9.968047943120784e-6,9.969931329567583e-6,99.38923368371172
g0.815_7,15,7,0.815,0.8205599910864644,0.006822074952717096,0.14844552898500246,custom_geometric,0.9895172119140625,0.9779302852039345,0.9835633762017124,996,1461,9.974169868337546e-6,9.92740809360737e-6,99.38923368371172
g0.86_8,15,8,0.86,0.8774249160910143,0.020261530338388678,0.1544010658530928,custom_geometric,0.9931640625,0.9841036600079646,0.988447447906382,1530,2268,9.966670822370016e-6,9.996676466783594e-6,99.38923368371172
g0.875_5,15,5,0.875,0.8622027411671819,0.014625438666077859,0.15092443378837786,custom_geometric,0.9923248291015625,0.9825763754567917,0.9875211468712154,1361,2068,9.95260802372222e-6,9.956836681951353e-6,99.38923368371172
g0.89_8,15,8,0.89,0.8812290397691291,0.00985501149536053,0.18047821558051616,custom_geometric,0.9937896728515625,0.9852290035759756,0.989740034764811,1684,2613,9.971290786447984e-6,9.953170583554272e-6,99.38923368371172
g0.905_7,15,7,0.905,0.8982597308525528,0.007447811212648824,0.17085755146900605,custom_geometric,0.9949874877929688,0.9875339915268503,0.9904558983377068,2087,2889,9.980732867370667e-6,9.994064598783936e-6,99.38923368371172
