name,n,mu,target,sigma,sigma_error,scale,type
g0.38,50,40.0,0.38,0.3783558111039392,0.004326812884370599,0.027,custom_geometric
g0.395,50,40.0,0.395,0.39564342887007403,0.0016289338482886437,0.024,custom_geometric
g0.41,50,40.0,0.41,0.4131842646576401,0.007766499164975857,0.025,custom_geometric
g0.44,50,40.0,0.44,0.446502920130926,0.014779363933922762,0.024,custom_geometric
g0.455,50,40.0,0.455,0.4500000000000004,0.010989010989010145,0.029,custom_geometric
g0.47,50,40.0,0.47,0.47909089104039526,0.019342321362543168,0.025,custom_geometric
g0.485,50,40.0,0.485,0.47451046203041153,0.021627913339357648,0.021,custom_geometric
g0.5,50,40.0,0.5,0.5000000000000001,2.220446049250313e-16,0.03,custom_geometric
g0.515,50,40.0,0.515,0.5156437015481109,0.0012499059186619156,0.022,custom_geometric
g0.53,50,40.0,0.53,0.5400315621546489,0.018927475763488383,0.02,custom_geometric
g0.545,50,40.0,0.545,0.5500000000000003,0.00917431192660592,0.031,custom_geometric
g0.56,50,40.0,0.56,0.5652973345796647,0.009459526035115422,0.02,custom_geometric
g0.575,50,40.0,0.575,0.5786358157557563,0.0063231578360979715,0.017,custom_geometric
g0.59,50,40.0,0.59,0.5978765991906302,0.013350168119712234,0.018,custom_geometric
g0.605,50,40.0,0.605,0.6002409655499855,0.00786617264465201,0.018,custom_geometric
g0.62,50,40.0,0.62,0.6218466357079915,0.0029784446903088455,0.018,custom_geometric
g0.635,50,40.0,0.635,0.6441644243153481,0.014432164276138804,0.014,custom_geometric
g0.65,50,40.0,0.65,0.6500000000000002,3.4160708450004814e-16,0.033,custom_geometric
g0.665,50,40.0,0.665,0.6694804250097761,0.006737481217708389,0.014,custom_geometric
g0.68,50,40.0,0.68,0.6776937174449573,0.003391591992709892,0.015,custom_geometric
g0.695,50,40.0,0.695,0.6960512782347538,0.0015126305536026135,0.012,custom_geometric
g0.71,50,40.0,0.71,0.7112814901368926,0.001804915685764232,0.013,custom_geometric
g0.725,50,40.0,0.725,0.7284827111853557,0.004803739566007866,0.013,custom_geometric
g0.74,50,40.0,0.74,0.7406627279887088,0.000895578363120015,0.013,custom_geometric
g0.755,50,40.0,0.755,0.7573925645780942,0.003168959706085066,0.013,custom_geometric
g0.77,50,40.0,0.77,0.7658627936404264,0.0053729952721735036,0.01,custom_geometric
g0.785,50,40.0,0.785,0.8,0.019108280254777087,0.036,custom_geometric
g0.8,50,40.0,0.8,0.8000000000000002,1.3877787807814457e-16,0.036,custom_geometric
g0.815,50,40.0,0.815,0.8,0.018404907975460003,0.036,custom_geometric
g0.83,50,40.0,0.83,0.8125721778444718,0.02099737609099781,0.01,custom_geometric
g0.845,50,40.0,0.845,0.8500000000000003,0.005917159763314009,0.037,custom_geometric
g0.86,50,40.0,0.86,0.8500000000000002,0.011627906976743938,0.037,custom_geometric
g0.89,50,40.0,0.89,0.9000000000000001,0.01123595505617991,0.038,custom_geometric
g0.905,50,40.0,0.905,0.8999999999999999,0.005524861878453166,0.038,custom_geometric
g0.92,50,40.0,0.92,0.9000000000000006,0.021739130434782025,0.038,custom_geometric
g0.935,50,40.0,0.935,0.9500000000000003,0.016042780748663353,0.039,custom_geometric
g0.95,50,40.0,0.95,0.9500000000000005,5.843279076974509e-16,0.039,custom_geometric
