name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.4,50,40.0,0.4,0.40000000000000024,5.551115123125783e-16,0.028,custom_geometric,0.9929275512695312,0.9836751745723536,0.9885207584578602,1480,2311,9.978637458885053e-6,9.969105472906747e-6,166.91494686828082
g0.43,50,40.0,0.43,0.4276475556918568,0.005470800716612062,0.023,custom_geometric,0.9929275512695312,0.9836800234244596,0.9878039852760314,1479,2134,9.99309493029954e-6,9.964339131057764e-6,166.91494686828082
g0.445,50,40.0,0.445,0.45000000000000057,0.011235955056181033,0.029,custom_geometric,0.9929275512695312,0.9836738106758048,0.9881949563315338,1481,2228,9.947314543512498e-6,9.975759467234502e-6,166.91494686828082
g0.46,50,40.0,0.46,0.452638876035609,0.016002443400850077,0.021,custom_geometric,0.9929275512695312,0.9836807047887953,0.987606518506977,1480,2105,9.947552504468993e-6,9.95035135678557e-6,166.91494686828082
g0.475,50,40.0,0.475,0.4670746709632796,0.01668490323520081,0.022,custom_geometric,0.9929275512695312,0.9836762579940763,0.9878024675301132,1481,2133,9.93180312147679e-6,9.9486468208565e-6,166.91494686828082
g0.49,50,40.0,0.49,0.49949692807426743,0.019381485865851922,0.024,custom_geometric,0.9929275512695312,0.9836797091070891,0.9877505104878546,1479,2129,9.972916368589102e-6,9.958497652756693e-6,166.91494686828082
g0.505,50,40.0,0.505,0.5000000000000002,0.00990099009900947,0.03,custom_geometric,0.9929275512695312,0.9836743126949526,0.9887191169682232,1480,2356,9.970118375529635e-6,9.97330487978454e-6,166.91494686828082
g0.52,50,40.0,0.52,0.5153314897514075,0.008977904324216336,0.019,custom_geometric,0.9929275512695312,0.9836798452948934,0.9872750544341378,1480,2028,9.957825317041813e-6,9.992566178396167e-6,166.91494686828082
g0.535,50,40.0,0.535,0.5302590861039637,0.008861521301002559,0.02,custom_geometric,0.9929275512695312,0.9836847147745575,0.987324543368042,1480,2039,9.952793394052417e-6,9.944685249591023e-6,166.91494686828082
g0.55,50,40.0,0.55,0.5499999999999999,2.0185873175002846e-16,0.031,custom_geometric,0.9929275512695312,0.9836698796107157,0.9887102694361095,1482,2366,9.933236732428963e-6,9.985776835974569e-6,166.91494686828082
g0.565,50,40.0,0.565,0.5690550182430258,0.007177023438983892,0.018,custom_geometric,0.9929275512695312,0.9836837250273535,0.9871194745906244,1479,2003,9.952289393155844e-6,9.97308910130612e-6,166.91494686828082
g0.58,50,40.0,0.58,0.5701059380093976,0.017058727570004116,0.02,custom_geometric,0.9929275512695312,0.9836837919579313,0.9872187784224041,1479,2026,9.997745113371481e-6,9.954654624916293e-6,166.91494686828082
g0.595,50,40.0,0.595,0.5991910595787078,0.007043797611273615,0.019,custom_geometric,0.9929275512695312,0.9836824109829095,0.9871207086284316,1479,2001,9.99560353054374e-6,9.995606025908765e-6,166.91494686828082
g0.61,50,40.0,0.61,0.6048407327995733,0.008457815082666718,0.018,custom_geometric,0.9929275512695312,0.9836909447929714,0.9869126753402346,1478,1962,9.997841226683235e-6,9.979776846330557e-6,166.91494686828082
